Number,OD,medium,plasmid,Genotype,technical_replicate,Biological_replicate,yL
1,0.153,SCDG,pRS316,mRF1-del,TR1,N,yL013
2,0.157,SCDG,pRS316,mRF1-del,TR2,N,yL013
3,0.083,SCG,pRS316,mRF1-del,TR1,N,yL013
4,0.082,SCG,pRS316,mRF1-del,TR2,N,yL013
5,0.084,SCGE,pRS316,mRF1-del,TR1,N,yL013
6,0.082,SCGE,pRS316,mRF1-del,TR2,N,yL013
7,1.027,SC,pRS316,mRF1-del,TR1,N,yL013
8,0.947,SC,pRS316,mRF1-del,TR2,N,yL013
9,0.327,SCDG,pRS316,wt,TR1,N,yL003
10,0.294,SCDG,pRS316,wt,TR2,N,yL003
11,0.224,SCG,pRS316,wt,TR1,N,yL003
12,0.228,SCG,pRS316,wt,TR2,N,yL003
13,0.196,SCGE,pRS316,wt,TR1,N,yL003
14,0.208,SCGE,pRS316,wt,TR2,N,yL003
15,0.961,SC,pRS316,wt,TR1,N,yL003
16,0.93,SC,pRS317,wt,TR2,N,yL003
17,0.216,SCDG,RF1,mRF1-del,TR1,N,yL016
18,0.161,SCDG,RF1,mRF1-del,TR2,N,yL016
19,0.101,SCG,RF1,mRF1-del,TR1,N,yL016
20,0.138,SCG,RF1,mRF1-del,TR2,N,yL016
21,0.157,SCGE,RF1,mRF1-del,TR1,N,yL016
22,0.113,SCGE,RF1,mRF1-del,TR2,N,yL016
23,0.976,SC,RF1,mRF1-del,TR1,N,yL016
24,1.031,SC,RF1,mRF1-del,TR2,N,yL016
25,0.255,SCDG,pTEF-RF1,wt,TR1,N,yL024
26,0.301,SCDG,pTEF-RF1,wt,TR2,N,yL024
27,0.22,SCG,pTEF-RF1,wt,TR1,N,yL024
28,0.251,SCG,pTEF-RF1,wt,TR2,N,yL024
29,0.25,SCGE,pTEF-RF1,wt,TR1,N,yL024
30,0.246,SCGE,pTEF-RF1,wt,TR2,N,yL024
31,0.989,SC,pTEF-RF1,wt,TR1,N,yL024
32,0.978,SC,pTEF-RF1,wt,TR2,N,yL024
33,0.284,SCDG,pTEF-RF1,mRF1-del,TR1,BR1,yL027
34,0.268,SCDG,pTEF-RF1,mRF1-del,TR2,BR1,yL027
35,0.224,SCG,pTEF-RF1,mRF1-del,TR1,BR1,yL027
36,0.248,SCG,pTEF-RF1,mRF1-del,TR2,BR1,yL027
37,0.238,SCGE,pTEF-RF1,mRF1-del,TR1,BR1,yL027
38,0.251,SCGE,pTEF-RF1,mRF1-del,TR2,BR1,yL027
39,0.969,SC,pTEF-RF1,mRF1-del,TR1,BR1,yL027
40,0.974,SC,pTEF-RF1,mRF1-del,TR2,BR1,yL027
41,0.317,SCDG,pTEF-RF1,mRF1-del,TR1,BR2,yL028
42,0.284,SCDG,pTEF-RF1,mRF1-del,TR2,BR2,yL028
43,0.203,SCG,pTEF-RF1,mRF1-del,TR1,BR2,yL028
44,0.258,SCG,pTEF-RF1,mRF1-del,TR2,BR2,yL028
45,0.282,SCGE,pTEF-RF1,mRF1-del,TR1,BR2,yL028
46,0.247,SCGE,pTEF-RF1,mRF1-del,TR2,BR2,yL028
47,0.988,SC,pTEF-RF1,mRF1-del,TR1,BR2,yL028
48,0.95,SC,pTEF-RF1,mRF1-del,TR2,BR2,yL028
49,0.294,SCDG,noMTS-RF1,wt,TR1,N,yL025
50,0.289,SCDG,noMTS-RF1,wt,TR2,N,yL025
51,0.299,SCG,noMTS-RF1,wt,TR1,N,yL025
52,0.263,SCG,noMTS-RF1,wt,TR2,N,yL025
53,0.3,SCGE,noMTS-RF1,wt,TR1,N,yL025
54,0.319,SCGE,noMTS-RF1,wt,TR2,N,yL025
55,1.31,SC,noMTS-RF1,wt,TR1,N,yL025
56,1.302,SC,noMTS-RF1,wt,TR2,N,yL025
57,0.163,SCDG,noMTS-RF1,mRF1-del,TR1,BR1,yL030
58,0.149,SCDG,noMTS-RF1,mRF1-del,TR2,BR1,yL030
59,0.098,SCG,noMTS-RF1,mRF1-del,TR1,BR1,yL030
60,0.104,SCG,noMTS-RF1,mRF1-del,TR2,BR1,yL030
61,0.091,SCGE,noMTS-RF1,mRF1-del,TR1,BR1,yL030
62,0.097,SCGE,noMTS-RF1,mRF1-del,TR2,BR1,yL030
63,1.152,SC,noMTS-RF1,mRF1-del,TR1,BR1,yL030
64,1.249,SC,noMTS-RF1,mRF1-del,TR2,BR1,yL030
65,0.145,SCDG,noMTS-RF1,mRF1-del,TR1,BR2,yL031
